Design_id|Locarno_class
623649|14-04
623650|14-04
623651|24-01
623689|18-02
623698|15-02
623699|15-02
623700|07-02
623701|07-02
623702|31-00
623703|31-00
623704|07-02
623709|07-02
623726|08-03
623727|08-03
623769|09-03
623770|09-03
623771|09-03
623772|09-03
623773|09-03
623774|09-03
623775|09-03
623776|09-03
623777|09-03
623778|09-03
623779|09-03
623793|08-08
623794|08-08
623797|03-01
623798|03-01
623799|19-02
623804|14-04
623805|14-04
623806|14-04
623807|14-04
623808|14-04
623809|14-04
623810|14-04
623811|14-04
623812|14-04
623813|14-04
623814|14-03
623815|14-03
623816|14-03
623817|14-03
623818|14-03
623819|14-03
623820|14-03
623821|14-03
623822|14-03
623823|14-03
623824|14-03
623825|14-03
623826|04-01
623829|12-08
623830|13-03
623866|15-09
623869|16-05
623870|16-05
623871|09-03
623873|09-03
623874|26-05
623875|26-05
623893|02-04
623894|02-04
623895|02-04
623896|02-04
623897|02-04
623898|02-04
623899|02-04
623900|02-04
623901|02-04
623902|02-04
623903|02-04
623904|02-04
623905|02-04
623906|02-04
623907|02-04
623908|02-04
623909|02-04
623910|02-04
623911|02-04
623912|02-04
623913|02-04
623914|02-04
623915|02-04
623916|02-04
623917|02-04
623918|02-04
623919|02-04
623920|02-04
623921|02-04
623922|02-04
623923|02-04
623924|02-04
623925|02-04
623926|02-04
623927|02-04
623928|02-04
623929|02-04
623930|02-04
623931|02-04
623932|02-04
623933|02-04
623934|02-04
623935|02-04
623936|02-04
623937|02-04
623938|02-04
623939|02-04
623940|02-04
623941|02-04
623942|02-04
623943|02-04
623944|02-04
623945|02-04
623946|02-04
623947|02-04
623948|02-04
623949|02-04
623950|02-04
623951|02-04
623952|02-04
623953|02-04
623954|02-04
623955|02-04
623956|02-04
623957|02-04
623958|02-04
623959|02-04
623960|02-04
623961|02-04
623962|02-04
623963|02-04
623964|02-04
623965|02-04
623966|02-04
623967|02-04
623968|02-04
623969|02-04
623970|02-04
623971|02-04
623972|02-04
623973|02-04
623974|02-04
623975|02-04
623976|02-04
623977|02-04
623978|02-04
623979|02-04
623980|02-04
624003|09-03
624004|09-03
624005|31-00
624008|09-01
624012|14-02
624013|03-01
624014|15-02
624015|15-02
624016|10-04
624017|10-07
624018|05-04
624019|05-04
624020|05-04
624021|05-04
624022|05-04
